// Version: Elderberry
// Acquisition date: 2025-06-20 13:04:44
// Update Rate: 40.0Hz
// Warnings: ;
// Model detected: full_body
// Firmware Version: Dongle 4.14.0
PacketCounter	Roll	Pitch	Yaw	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	MagX	MagY	MagZ
12195	21.596360	74.782211	2.197313	-9.314243	-2.512835	1.779626	-0.076400	0.019928	0.024913	0.624268	0.140137	-0.627930
12196	21.521488	74.806968	2.205429	-9.332211	-2.555866	1.710989	-0.049453	0.014813	0.011450	0.635254	0.139893	-0.623779
12197	21.345778	74.825424	2.053726	-9.333315	-2.583514	1.680447	-0.033356	0.021163	0.005104	0.626709	0.135742	-0.625488
12198	21.250194	74.868081	2.058330	-9.339679	-2.555659	1.615374	-0.058685	0.025428	0.012153	0.627197	0.140137	-0.624023
12199	21.055354	74.907253	1.971936	-9.292986	-2.491291	1.642251	-0.075047	0.030382	0.011207	0.629150	0.142090	-0.617920
12200	20.820219	74.931325	1.831404	-9.299261	-2.506813	1.624449	-0.080540	0.021651	0.009526	0.635010	0.140625	-0.624023
12201	20.669757	74.944429	1.765397	-9.315336	-2.508413	1.735326	-0.060756	0.014022	-0.000273	0.639404	0.145508	-0.627441
12202	20.449929	74.939721	1.603361	-9.346591	-2.556269	1.786621	-0.048696	0.017162	-0.013396	0.634766	0.142822	-0.621826
12203	20.275106	74.924109	1.482822	-9.338902	-2.549939	1.818271	-0.042894	0.009145	-0.020360	0.630127	0.137695	-0.626709
12204	20.199696	74.919065	1.512039	-9.386602	-2.525373	1.763813	-0.050708	0.010025	-0.024765	0.636963	0.149170	-0.622314
12205	20.089062	74.911046	1.410345	-9.329139	-2.460120	1.807322	-0.017940	0.004529	-0.003628	0.635254	0.151855	-0.623047
12206	19.835971	74.891057	1.163782	-9.325702	-2.625670	1.718351	-0.019932	0.020924	-0.023943	0.630615	0.142578	-0.623535
12207	19.728173	74.879832	1.039963	-9.331934	-2.738772	1.695631	0.020440	0.025774	-0.035126	0.633545	0.145020	-0.620850
12208	19.637935	74.877214	0.869484	-9.329468	-2.673905	1.706571	0.053538	0.028975	-0.024049	0.623535	0.140381	-0.624268
12209	19.721158	74.893877	0.897669	-9.339144	-2.556413	1.717280	0.064438	0.026988	-0.016086	0.634766	0.151123	-0.620117
12210	19.539807	74.881661	0.603908	-9.349001	-2.558218	1.733714	0.059915	0.033183	-0.024285	0.627197	0.153076	-0.625000
12211	19.409165	74.863567	0.381637	-9.388284	-2.569121	1.729655	0.061973	0.031574	-0.029580	0.636719	0.157471	-0.623047
12212	19.231554	74.818124	0.056181	-9.397773	-2.520058	1.785680	0.078365	0.020163	-0.034625	0.625488	0.141357	-0.617432
12213	19.283171	74.792176	-0.000499	-9.426156	-2.480733	1.795845	0.082990	0.010061	-0.032120	0.628418	0.140625	-0.616943
12214	19.284966	74.750963	-0.075352	-9.418167	-2.528885	1.748687	0.056256	0.002047	-0.038575	0.628418	0.137695	-0.625732
12215	19.395450	74.718989	-0.033451	-9.393512	-2.546881	1.665745	0.072264	0.002754	-0.039085	0.624268	0.140869	-0.619385
12216	19.526208	74.676712	-0.012693	-9.352829	-2.488749	1.718983	0.087826	-0.007370	-0.032363	0.631104	0.144531	-0.625488
12217	19.677908	74.639343	0.022454	-9.363835	-2.460727	1.739044	0.089371	-0.011878	-0.019820	0.630615	0.140625	-0.619873
12218	19.811885	74.596605	0.042843	-9.380854	-2.439727	1.781543	0.079762	-0.016719	-0.021790	0.632324	0.142334	-0.625732
12219	19.969789	74.535284	0.066550	-9.258838	-2.473378	1.755025	0.098369	-0.022369	-0.032178	0.628906	0.131836	-0.620605
12220	20.146157	74.478297	0.101111	-9.227219	-2.448824	1.740303	0.109338	-0.015922	-0.043493	0.628174	0.138184	-0.628662
12221	20.295687	74.424445	0.135273	-9.195635	-2.460595	1.632438	0.094168	-0.014234	-0.035830	0.634766	0.125488	-0.625977
12222	20.513890	74.413554	0.245182	-9.211846	-2.557387	1.692952	0.094514	-0.004406	-0.018168	0.633301	0.136963	-0.623535
12223	20.625272	74.403315	0.203919	-9.255930	-2.573690	1.711664	0.098888	0.001521	-0.003819	0.623779	0.134033	-0.624023
12224	20.832534	74.413581	0.257213	-9.311006	-2.596415	1.671279	0.114388	0.006473	0.006648	0.634277	0.128662	-0.623779
12225	20.993822	74.436020	0.241331	-9.357331	-2.566402	1.637603	0.121902	0.016735	0.007473	0.629150	0.124268	-0.625000
12226	21.206245	74.481857	0.280142	-9.414699	-2.531912	1.630730	0.130805	0.027161	0.015669	0.636230	0.126709	-0.626465
12227	21.336765	74.515758	0.243199	-9.441445	-2.469636	1.627184	0.114368	0.023815	0.014395	0.632812	0.119385	-0.631104
12228	21.487133	74.527680	0.301883	-9.380177	-2.500914	1.672147	0.082666	0.013384	-0.006921	0.636230	0.121338	-0.622559
12229	21.446005	74.503497	0.153657	-9.345782	-2.463835	1.635152	0.065293	0.011448	-0.029228	0.635498	0.120850	-0.632324
12230	21.453969	74.462563	0.067904	-9.328191	-2.550919	1.639732	0.075206	0.007295	-0.044651	0.630371	0.114990	-0.615967
12231	21.395527	74.421284	-0.141895	-9.342280	-2.484264	1.580742	0.094445	0.016588	-0.052794	0.626465	0.120605	-0.630127
12232	21.375760	74.380539	-0.272205	-9.358277	-2.434398	1.545138	0.087746	0.017620	-0.051511	0.635010	0.116211	-0.622803
12233	21.227763	74.356922	-0.515273	-9.388252	-2.488855	1.554817	0.058138	0.029591	-0.046390	0.633545	0.116211	-0.627686
12234	21.157913	74.334952	-0.689690	-9.415722	-2.375382	1.628579	0.076398	0.027688	-0.045054	0.642578	0.113525	-0.625977
12235	21.024229	74.296041	-0.917391	-9.388936	-2.280991	1.741641	0.059878	0.021598	-0.055980	0.633789	0.120117	-0.621826
12236	20.781468	74.256658	-1.246828	-9.372244	-2.341510	1.773423	0.045522	0.032256	-0.056274	0.637207	0.117676	-0.623535
12237	20.634180	74.223464	-1.502239	-9.302778	-2.423722	1.794217	0.066426	0.027300	-0.050096	0.631348	0.113770	-0.624756
12238	20.642505	74.215526	-1.587112	-9.319113	-2.272476	1.818194	0.071455	0.021900	-0.029733	0.641113	0.113281	-0.620605
12239	20.602567	74.232173	-1.698519	-9.284303	-2.359897	1.740997	0.042002	0.023671	-0.006602	0.635010	0.118652	-0.624268
12240	20.606431	74.277133	-1.729645	-9.298692	-2.339103	1.670232	0.023778	0.026112	0.020844	0.636963	0.122070	-0.633057
12241	20.703280	74.333051	-1.649720	-9.316107	-2.342604	1.689025	0.022050	0.018470	0.038068	0.635254	0.116455	-0.627686
12242	20.831934	74.397014	-1.509102	-9.339293	-2.329854	1.724815	0.002546	0.012627	0.045213	0.637451	0.120117	-0.628418
12243	20.940576	74.449732	-1.370882	-9.374403	-2.354758	1.801968	-0.013935	0.003309	0.047466	0.632080	0.114746	-0.619385
12244	21.075385	74.510517	-1.184656	-9.386464	-2.395250	1.794213	-0.031940	-0.001749	0.054710	0.633545	0.109375	-0.625000
12245	21.299164	74.575704	-0.875621	-9.371872	-2.409585	1.720351	-0.040721	-0.008731	0.056596	0.628662	0.109131	-0.621338
12246	21.577178	74.640174	-0.528439	-9.393828	-2.400049	1.740866	-0.030426	-0.014355	0.061637	0.639648	0.111572	-0.619385
12247	21.696815	74.698534	-0.329627	-9.330908	-2.412011	1.599376	-0.055101	-0.008535	0.057017	0.633789	0.115479	-0.628906
12248	21.930421	74.750829	-0.023245	-9.379875	-2.462528	1.614209	-0.033736	-0.015333	0.058332	0.646729	0.111328	-0.626221
12249	22.097939	74.820664	0.174354	-9.372894	-2.477164	1.582183	-0.016980	-0.000023	0.060590	0.631592	0.107666	-0.622559
12250	22.319911	74.887433	0.444764	-9.360338	-2.398385	1.624703	-0.020303	-0.002061	0.055815	0.635986	0.105957	-0.628174
12251	22.449318	74.959434	0.643900	-9.352408	-2.384182	1.651981	-0.032405	0.013568	0.045836	0.630859	0.107910	-0.626709
12252	22.524377	74.993945	0.787254	-9.324745	-2.527992	1.732217	-0.032409	0.005763	0.020891	0.630859	0.105957	-0.625732
12253	22.591135	75.038725	0.902859	-9.382193	-2.355034	1.708044	-0.019404	0.015509	0.020757	0.638428	0.110840	-0.627930
12254	22.528953	75.055407	0.871951	-9.293015	-2.563782	1.645351	-0.016530	0.016946	-0.000303	0.633545	0.114502	-0.625732
12255	22.485868	75.060131	0.829621	-9.324716	-2.363117	1.725696	0.002928	0.012745	-0.003740	0.632568	0.108398	-0.615723
12256	22.410310	75.071451	0.795989	-9.316769	-2.357558	1.731066	-0.034164	0.009012	0.000633	0.636475	0.112549	-0.619385
12257	22.268201	75.072005	0.720133	-9.343029	-2.450649	1.689139	-0.051706	0.008003	-0.005434	0.629639	0.114746	-0.625732
12258	22.222414	75.066661	0.709944	-9.385621	-2.481658	1.659807	-0.016161	0.007588	-0.010536	0.631348	0.109619	-0.616455
12259	22.142634	75.078865	0.645154	-9.364637	-2.398975	1.572963	-0.013190	0.017146	-0.005595	0.640869	0.113525	-0.632080
12260	22.088422	75.083278	0.595160	-9.375178	-2.430760	1.707980	0.007261	0.018672	-0.012693	0.634033	0.117188	-0.623779
12261	22.013359	75.068832	0.522253	-9.343736	-2.307139	1.743210	-0.000043	0.007514	-0.015884	0.642090	0.114746	-0.622070
12262	21.855725	75.067007	0.383516	-9.342146	-2.382730	1.759607	-0.019156	0.016793	-0.014017	0.646240	0.110840	-0.626953
12263	21.731613	75.089439	0.240898	-9.350235	-2.444813	1.718418	0.013810	0.034816	-0.011166	0.643066	0.111084	-0.626221
12264	21.751404	75.111554	0.216969	-9.363366	-2.492929	1.685302	0.036422	0.020546	0.000399	0.639648	0.113281	-0.623291
12265	21.826411	75.117646	0.170218	-9.382016	-2.422628	1.898251	0.087264	0.016207	-0.006490	0.636963	0.112061	-0.616943
12266	22.016267	75.097153	0.290733	-9.407169	-2.387177	1.902723	0.049306	-0.024368	0.002520	0.632324	0.104980	-0.628662
12267	22.247763	75.145375	0.404396	-9.379911	-2.725217	1.588786	0.101722	0.026048	0.016424	0.640625	0.113770	-0.626221
12268	22.639738	75.168886	0.440948	-9.400757	-2.386423	1.419433	0.252457	0.016218	0.015899	0.638428	0.109863	-0.626465
12269	22.954391	75.179984	0.435695	-9.371255	-2.187355	1.550123	0.227531	0.016922	0.003885	0.645264	0.097656	-0.622314
12270	23.096573	75.177676	0.421109	-9.358126	-2.103752	1.636550	0.109105	0.006022	-0.008295	0.640137	0.100098	-0.616455
12271	22.985026	75.182903	0.308764	-9.284949	-2.187423	1.687258	-0.009680	0.013726	-0.005529	0.651123	0.095459	-0.625000
12272	22.800973	75.199346	0.216568	-9.327439	-2.302597	1.742616	-0.065518	0.018727	-0.005924	0.635742	0.104980	-0.625977
12273	22.626703	75.213487	0.136141	-9.393407	-2.420860	1.753499	-0.061670	0.021226	-0.003121	0.635498	0.096680	-0.628418
