// Version: Elderberry
// Acquisition date: 2025-06-20 13:04:44
// Update Rate: 40.0Hz
// Warnings: ;
// Model detected: full_body
// Firmware Version: Dongle 4.14.0
PacketCounter	Roll	Pitch	Yaw	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	MagX	MagY	MagZ
12195	-72.372057	85.761826	-45.016436	-9.332365	2.934298	1.006439	-0.005624	0.000012	-0.086824	0.605225	-0.667969	0.283691
12196	-74.467848	85.758520	-47.035752	-9.330512	2.967217	1.029568	-0.064654	0.000470	-0.102292	0.609375	-0.665039	0.278809
12197	-76.835137	85.750993	-49.286574	-9.350211	2.965003	1.016714	-0.094428	0.015149	-0.114394	0.609619	-0.662842	0.281250
12198	-79.163178	85.759260	-51.481788	-9.368823	3.044356	1.090985	-0.097020	0.022261	-0.109517	0.606689	-0.665283	0.277344
12199	-80.870584	85.728074	-53.088612	-9.433444	3.047475	1.136584	-0.083861	0.006932	-0.085848	0.615479	-0.663574	0.281006
12200	-82.115134	85.684738	-54.252048	-9.386522	3.073384	1.100243	-0.065301	-0.017918	-0.054747	0.613770	-0.655029	0.281738
12201	-82.983443	85.645985	-55.036787	-9.366595	3.034138	1.075684	-0.059776	-0.027656	-0.028592	0.615967	-0.657227	0.272461
12202	-83.091111	85.581265	-55.101796	-9.362040	2.956516	1.087080	-0.042445	-0.029249	0.000159	0.613037	-0.657715	0.269043
12203	-82.833140	85.506053	-54.838978	-9.315390	2.886713	1.067348	-0.020216	-0.037366	0.013641	0.613525	-0.658203	0.274414
12204	-82.546948	85.441099	-54.570222	-9.309585	2.854121	1.095588	0.001987	-0.051194	0.019545	0.614258	-0.661377	0.273193
12205	-82.232325	85.359764	-54.301198	-9.287757	2.822490	1.034181	0.016098	-0.063130	0.017369	0.618164	-0.666016	0.275635
12206	-82.072014	85.281668	-54.184376	-9.268144	2.841811	0.950451	0.015947	-0.063969	0.010009	0.619385	-0.662598	0.267090
12207	-81.944595	85.197510	-54.104947	-9.254648	2.886318	0.950341	0.012822	-0.053571	0.004686	0.618164	-0.661865	0.273438
12208	-81.946085	85.157617	-54.127119	-9.288162	2.903231	0.928158	0.008668	-0.036902	0.003843	0.611572	-0.663574	0.267822
12209	-81.835498	85.097415	-54.030807	-9.305271	2.911014	0.965461	-0.004603	-0.032896	0.002448	0.616211	-0.662109	0.269287
12210	-81.794143	85.046134	-53.988245	-9.280517	2.899652	0.932578	-0.010621	-0.031805	0.004630	0.618164	-0.671387	0.264893
12211	-81.552515	84.993504	-53.757639	-9.278423	2.900965	0.955636	-0.007609	-0.015805	0.006290	0.612061	-0.666260	0.275879
12212	-81.435100	84.999011	-53.608372	-9.285975	2.928704	0.992557	-0.015016	-0.001553	0.011220	0.605713	-0.654053	0.271240
12213	-81.374910	85.005562	-53.499810	-9.297128	2.872974	1.029768	-0.025789	0.000310	0.012281	0.613525	-0.664551	0.267578
12214	-81.209756	84.986692	-53.312552	-9.312936	2.853081	1.033174	-0.018085	-0.003666	0.010516	0.619873	-0.660645	0.268066
12215	-81.185013	84.988250	-53.261526	-9.340520	2.902835	1.041395	-0.014616	0.002511	0.008581	0.608887	-0.659668	0.261475
12216	-80.867660	84.981040	-52.931642	-9.333076	2.900633	1.046079	-0.011186	0.010448	0.016190	0.611816	-0.661621	0.264160
12217	-80.449665	84.977995	-52.497571	-9.378904	2.899909	1.081766	-0.010180	0.008780	0.025041	0.607666	-0.664062	0.275635
12218	-79.952771	84.999969	-51.957334	-9.298172	2.901568	1.120814	-0.015664	0.007150	0.036726	0.615479	-0.662842	0.267334
12219	-79.068298	85.005631	-51.061580	-9.180073	2.825195	1.129964	0.000235	0.007632	0.056960	0.614502	-0.660645	0.261963
12220	-78.047019	84.974618	-50.064367	-9.187800	2.788979	1.154096	0.014574	-0.013029	0.063059	0.613037	-0.662842	0.275391
12221	-77.208756	84.961538	-49.234021	-9.176234	2.702049	1.147227	0.015163	-0.027353	0.061590	0.611328	-0.673340	0.270752
12222	-76.616498	84.928842	-48.671868	-9.279332	2.662807	1.114841	0.018316	-0.024708	0.035506	0.609863	-0.668457	0.270996
12223	-76.396402	84.900240	-48.503614	-9.363415	2.708761	1.102923	0.032787	-0.035111	0.014703	0.608887	-0.665039	0.272461
12224	-76.301150	84.880451	-48.484940	-9.464438	2.774815	1.115370	0.051855	-0.041871	0.007413	0.607910	-0.674316	0.272705
12225	-76.059322	84.857330	-48.340662	-9.514902	2.824509	1.084082	0.063088	-0.036840	0.007445	0.603027	-0.669678	0.268555
12226	-75.736639	84.826333	-48.116674	-9.517039	2.849132	1.093785	0.060721	-0.034786	0.010725	0.608398	-0.668701	0.268311
12227	-75.317257	84.803083	-47.792290	-9.465966	2.792060	1.122826	0.060741	-0.028214	0.018900	0.615479	-0.671143	0.268066
12228	-74.896760	84.780146	-47.463666	-9.385448	2.755689	1.131282	0.058120	-0.024115	0.020208	0.613281	-0.663086	0.276611
