// Version: Elderberry
// Acquisition date: 2025-06-20 13:04:44
// Update Rate: 40.0Hz
// Warnings: ;
// Model detected: full_body
// Firmware Version: Dongle 4.14.0
PacketCounter	Roll	Pitch	Yaw	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	MagX	MagY	MagZ
12195	-0.160303	-0.224445	-1.055088	9.742956	-0.578897	1.115903	0.058536	0.048809	0.012538	-0.928955	-0.351807	0.220215
12196	-0.155152	-0.164926	-1.006265	9.714838	-0.556192	1.133673	0.043402	0.037988	0.010279	-0.933105	-0.348145	0.219482
12197	-0.140174	-0.092097	-0.969357	9.705271	-0.529233	1.140302	0.035971	0.049497	0.005557	-0.921875	-0.348145	0.223877
12198	-0.136987	-0.044400	-0.934410	9.664621	-0.524683	1.190211	0.030208	0.031892	0.007588	-0.933105	-0.351074	0.221436
12199	-0.132922	-0.023898	-0.918867	9.655643	-0.549646	1.121371	0.019286	0.014696	-0.002979	-0.931396	-0.348877	0.223633
12200	-0.131473	-0.024324	-0.896795	9.641416	-0.578302	1.089445	0.022013	0.000992	-0.007140	-0.931641	-0.346924	0.227539
12201	-0.144303	-0.041097	-0.883812	9.673272	-0.550663	1.063373	0.012606	-0.012385	-0.004052	-0.925293	-0.349609	0.220459
12202	-0.160518	-0.067737	-0.891089	9.746356	-0.568432	1.001833	0.000973	-0.020019	-0.005333	-0.922363	-0.345947	0.218506
12203	-0.170119	-0.073062	-0.909534	9.761792	-0.581379	1.010854	-0.006046	-0.004469	-0.005173	-0.925537	-0.348633	0.224121
12204	-0.169936	-0.073769	-0.910947	9.726233	-0.628470	1.029597	0.005284	0.001606	-0.007695	-0.931152	-0.355713	0.220703
12205	-0.164684	-0.072851	-0.922527	9.717140	-0.627233	1.040563	0.001892	0.003551	-0.009969	-0.921387	-0.345215	0.223389
12206	-0.164380	-0.072020	-0.930845	9.750798	-0.635437	1.042473	-0.000187	0.003012	-0.008564	-0.925049	-0.343994	0.221680
12207	-0.157369	-0.064981	-0.936166	9.758044	-0.616009	1.070529	0.003369	0.008260	-0.011714	-0.932617	-0.353760	0.218262
12208	-0.141903	-0.041762	-0.938980	9.762535	-0.638317	1.038667	0.009628	0.019839	-0.010209	-0.925293	-0.349854	0.222412
12209	-0.117782	0.001526	-0.923877	9.700856	-0.648622	1.138367	0.019665	0.035671	-0.008275	-0.937256	-0.354980	0.219727
12210	-0.112720	0.011255	-0.911498	9.704966	-0.598092	1.115655	0.018849	0.007989	-0.006345	-0.927734	-0.341797	0.223633
12211	-0.106964	0.039851	-0.894429	9.729621	-0.582472	1.096733	0.017458	0.021229	-0.003505	-0.933838	-0.338867	0.214355
12212	-0.106039	0.079764	-0.892275	9.716126	-0.602054	1.126269	0.010348	0.025484	-0.000653	-0.925781	-0.335449	0.216309
12213	-0.108689	0.113040	-0.904951	9.739197	-0.619871	1.105076	-0.002701	0.021755	-0.001368	-0.935059	-0.350586	0.222168
12214	-0.107195	0.136553	-0.927724	9.761922	-0.642639	1.054003	-0.008344	0.018049	-0.003558	-0.934570	-0.349365	0.223145
12215	-0.107569	0.160573	-0.952886	9.777643	-0.625854	1.065077	-0.010981	0.018270	-0.002647	-0.932617	-0.352295	0.211182
12216	-0.123963	0.164917	-0.964704	9.729427	-0.576135	1.019472	0.001598	-0.001536	0.003162	-0.937744	-0.349609	0.221191
12217	-0.189210	0.128333	-0.978057	9.757693	-0.554160	0.930236	-0.007878	-0.039809	0.021069	-0.932861	-0.343750	0.216553
12218	-0.230916	0.196473	-1.051799	9.792177	-0.578514	1.070503	-0.046374	0.035104	0.030365	-0.932861	-0.345947	0.221680
12219	-0.290534	0.235979	-1.154274	9.583921	-0.600115	1.120984	-0.070071	0.014361	0.032167	-0.931641	-0.343262	0.213867
12220	-0.322773	0.337265	-1.283170	9.501064	-0.656910	1.237325	-0.083345	0.061401	0.029787	-0.935059	-0.351318	0.218994
12221	-0.378252	0.356286	-1.410166	9.449660	-0.690566	1.308025	-0.085824	0.003856	0.023219	-0.936768	-0.344727	0.209473
12222	-0.465576	0.317776	-1.524419	9.634809	-0.618977	1.206420	-0.077701	-0.044132	0.024789	-0.929688	-0.355713	0.216553
12223	-0.533733	0.319965	-1.671207	9.843025	-0.591520	1.109969	-0.100018	-0.009531	0.026790	-0.933105	-0.342529	0.217041
12224	-0.566123	0.385160	-1.846631	9.900735	-0.705712	1.247172	-0.117994	0.042282	0.016005	-0.940186	-0.344482	0.212402
12225	-0.581005	0.411529	-2.014443	9.878666	-0.827138	1.202613	-0.109383	0.021627	-0.006178	-0.932129	-0.349854	0.214355
12226	-0.542945	0.484207	-2.118730	9.805088	-0.803922	1.297913	-0.061820	0.064377	-0.017792	-0.933838	-0.351807	0.211182
