// Version: Elderberry
// Acquisition date: 2025-06-20 13:04:44
// Update Rate: 40.0Hz
// Warnings: ;
// Model detected: full_body
// Firmware Version: Dongle 4.14.0
PacketCounter	Roll	Pitch	Yaw	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	MagX	MagY	MagZ
12195	-0.364836	-1.373982	-0.140075	1.116798	-9.686102	-0.763221	0.038617	-0.134524	0.060864	-0.405762	0.667236	-0.375732
12196	-0.342038	-1.277700	0.006423	1.263749	-9.658241	-0.760292	0.030057	-0.107139	0.057113	-0.393555	0.668457	-0.371826
12197	-0.318140	-1.218432	0.091680	1.340103	-9.747428	-0.568866	0.028886	-0.064462	0.031710	-0.403809	0.662354	-0.372314
12198	-0.268954	-1.194762	0.121142	1.336611	-9.748243	-0.691407	0.039984	-0.019498	0.012768	-0.402588	0.664307	-0.372070
12199	-0.261782	-1.201340	0.113038	1.373913	-9.577218	-0.719836	0.008939	0.005694	-0.007239	-0.401855	0.667725	-0.367676
12200	-0.278752	-1.220227	0.039042	1.111297	-9.705536	-0.645179	-0.010759	0.053746	-0.013878	-0.396973	0.664307	-0.376221
12201	-0.299745	-1.235817	-0.025007	0.985454	-9.712438	-0.717433	-0.014188	0.038265	-0.011480	-0.392578	0.670166	-0.377686
12202	-0.313875	-1.249485	-0.089813	0.999103	-9.763302	-0.619008	-0.007942	0.035948	-0.011693	-0.394287	0.665283	-0.372070
12203	-0.299739	-1.253741	-0.135691	0.998299	-9.717375	-0.682348	0.012588	0.029726	-0.005248	-0.401367	0.658447	-0.376465
12204	-0.314532	-1.254427	-0.162600	0.983752	-9.762967	-0.693666	-0.009159	0.014875	-0.000859	-0.392822	0.669922	-0.373291
12205	-0.301914	-1.239162	-0.210906	0.940290	-9.750923	-0.690796	0.012291	0.029012	0.007555	-0.392822	0.671387	-0.376953
12206	-0.296464	-1.215648	-0.246721	1.000708	-9.665091	-0.777317	0.007896	0.017048	0.012840	-0.398438	0.660889	-0.375977
12207	-0.313773	-1.208400	-0.263906	1.002873	-9.715128	-0.721272	-0.009393	0.007680	0.003427	-0.394043	0.664551	-0.371826
12208	-0.315645	-1.212071	-0.275359	0.918563	-9.780606	-0.665217	0.003529	0.006609	-0.006140	-0.407959	0.660156	-0.378174
12209	-0.302780	-1.229166	-0.273477	0.944425	-9.727748	-0.718591	0.011045	-0.000608	-0.012225	-0.395508	0.673096	-0.373047
12210	-0.308574	-1.239903	-0.228968	0.984404	-9.681746	-0.724731	0.005909	-0.033035	-0.014964	-0.402588	0.675537	-0.382324
12211	-0.312020	-1.248211	-0.208153	0.955640	-9.716295	-0.710294	0.004221	-0.021830	-0.010450	-0.395996	0.677979	-0.376953
12212	-0.321520	-1.241955	-0.190632	0.924958	-9.742655	-0.710855	0.001889	-0.019193	-0.002345	-0.406250	0.665283	-0.374023
12213	-0.336025	-1.220449	-0.178634	0.919862	-9.795468	-0.611686	-0.005367	-0.009851	0.012247	-0.402344	0.664551	-0.371094
12214	-0.301525	-1.165051	-0.182087	0.795613	-9.838172	-0.706022	0.028358	0.002781	0.035979	-0.401367	0.663574	-0.380615
12215	-0.263648	-1.054711	-0.168181	0.738651	-9.754333	-0.720440	0.030457	-0.018591	0.074525	-0.402100	0.667236	-0.373047
12216	-0.216532	-0.893293	-0.131994	0.680004	-9.737367	-0.745515	0.039695	-0.029514	0.107981	-0.397461	0.673340	-0.376709
12217	-0.131135	-0.654950	-0.103607	0.724653	-9.751720	-0.754924	0.066682	-0.029471	0.160948	-0.395264	0.671631	-0.375000
12218	-0.007429	-0.341044	-0.076211	0.911890	-9.632471	-0.855170	0.092968	-0.027705	0.214066	-0.389893	0.673096	-0.380859
12219	0.053713	0.032934	-0.130790	1.061925	-9.637229	-0.804976	0.044468	0.019560	0.259531	-0.385986	0.668701	-0.375488
12220	0.099367	0.414071	-0.369787	1.069569	-9.614754	-0.631065	0.024438	0.152043	0.272991	-0.381836	0.677734	-0.384033
12221	0.092843	0.739519	-0.820219	1.055712	-9.533378	-0.479757	-0.020533	0.294128	0.242991	-0.367920	0.668701	-0.381836
12222	0.064035	1.025192	-1.397796	0.816779	-9.758229	-0.419134	-0.040168	0.384773	0.221095	-0.362305	0.683594	-0.384033
12223	0.045400	1.310239	-1.851248	0.482575	-9.977685	-0.555843	-0.024170	0.298845	0.213710	-0.362793	0.687256	-0.385010
12224	0.034605	1.560947	-2.156121	0.437674	-9.888889	-0.687638	-0.012440	0.200742	0.184281	-0.349854	0.683350	-0.385742
12225	0.019167	1.692648	-2.321896	0.571563	-9.786863	-0.659493	-0.010359	0.106924	0.094885	-0.350830	0.682861	-0.385010
12226	0.006049	1.701119	-2.355568	0.640975	-9.909920	-0.616944	-0.004847	0.023019	0.004031	-0.340576	0.687256	-0.389893
12227	0.025400	1.632721	-2.396320	0.727616	-9.848073	-0.507268	0.018667	0.025096	-0.050905	-0.349365	0.682861	-0.395508
12228	0.064448	1.528134	-2.476477	0.768147	-9.734818	-0.443833	0.028223	0.056122	-0.071874	-0.343750	0.686035	-0.389648
12229	0.040637	1.426103	-2.584708	0.668707	-9.712398	-0.580756	-0.013680	0.073128	-0.071323	-0.349121	0.685303	-0.398926
12230	-0.011454	1.319404	-2.732952	0.616105	-9.775739	-0.604419	-0.037400	0.096450	-0.071172	-0.352051	0.679932	-0.381836
12231	-0.033376	1.202514	-2.894179	0.562105	-9.814203	-0.607895	-0.015038	0.119957	-0.077808	-0.354492	0.684570	-0.395508
12232	-0.044162	1.074242	-3.034864	0.499820	-9.747675	-0.659427	-0.008628	0.099240	-0.085847	-0.347168	0.679199	-0.388916
12233	-0.067050	0.948846	-3.151210	0.460620	-9.756729	-0.662464	-0.014775	0.083091	-0.086097	-0.349121	0.680664	-0.394531
12234	-0.090748	0.809022	-3.225864	0.428572	-9.808907	-0.613038	-0.014644	0.052111	-0.097649	-0.342529	0.678467	-0.393799
12235	-0.109483	0.657536	-3.240612	0.453066	-9.770243	-0.633349	-0.007853	0.008587	-0.109525	-0.354492	0.684814	-0.387939
12236	-0.116648	0.502641	-3.206531	0.487353	-9.753891	-0.651143	0.003625	-0.017639	-0.113889	-0.353027	0.680176	-0.393555
12237	-0.124104	0.353326	-3.149687	0.564407	-9.742658	-0.682511	0.003071	-0.037985	-0.110674	-0.359863	0.675293	-0.393066
12238	-0.133137	0.216964	-3.080083	0.634300	-9.783540	-0.679346	0.001229	-0.044468	-0.101011	-0.354492	0.675049	-0.388184
12239	-0.149014	0.110562	-3.029488	0.643674	-9.734875	-0.660363	-0.002323	-0.034125	-0.080852	-0.361572	0.680908	-0.389404
12240	-0.155829	0.037161	-3.011276	0.629324	-9.731865	-0.621507	0.002636	-0.012074	-0.056290	-0.358643	0.685059	-0.400635
12241	-0.170719	-0.018583	-3.011374	0.614365	-9.790026	-0.662101	-0.004700	-0.009416	-0.043630	-0.362793	0.680908	-0.392334
12242	-0.178978	-0.050370	-2.969024	0.606038	-9.793342	-0.716975	0.002451	-0.032833	-0.028401	-0.363770	0.685059	-0.395264
12243	-0.185378	-0.054895	-2.930425	0.672620	-9.741510	-0.680071	0.003792	-0.033828	-0.009573	-0.368896	0.679199	-0.386719
12244	-0.181711	-0.039123	-2.908257	0.707562	-9.729646	-0.593886	0.009630	-0.014999	0.006265	-0.365967	0.675537	-0.390381
12245	-0.184264	-0.013436	-2.904839	0.682851	-9.765529	-0.632303	0.003154	-0.005391	0.014294	-0.369873	0.674561	-0.387695
12246	-0.185690	0.013599	-2.880577	0.669156	-9.783664	-0.667579	0.004695	-0.016261	0.014844	-0.359375	0.676270	-0.387939
12247	-0.180565	0.039089	-2.850934	0.727264	-9.764241	-0.679631	0.011280	-0.025021	0.011859	-0.365723	0.680664	-0.395264
12248	-0.167601	0.046667	-2.801561	0.751890	-9.758064	-0.666284	0.016231	-0.039050	-0.000658	-0.351807	0.677490	-0.393066
12249	-0.169802	0.053189	-2.760615	0.792862	-9.754703	-0.661538	0.007064	-0.039065	-0.002818	-0.369873	0.675537	-0.388916
12250	-0.174023	0.054723	-2.724925	0.755696	-9.738936	-0.639730	0.003156	-0.024460	-0.003511	-0.364258	0.674316	-0.393311
12251	-0.168923	0.056573	-2.708379	0.739684	-9.727630	-0.613227	0.008289	-0.015516	-0.002783	-0.367188	0.675537	-0.391113
12252	-0.168357	0.057983	-2.698589	0.724438	-9.756527	-0.654037	0.005080	-0.008882	-0.002689	-0.369141	0.671631	-0.392090
12253	-0.172565	0.059788	-2.669556	0.720114	-9.771683	-0.668522	0.001402	-0.021216	-0.002516	-0.362061	0.677246	-0.394775
12254	-0.171717	0.065998	-2.637588	0.772379	-9.754480	-0.638258	0.006755	-0.029179	-0.001101	-0.366455	0.680664	-0.391113
12255	-0.166839	0.069072	-2.615998	0.769986	-9.733795	-0.625108	0.009890	-0.018849	-0.002823	-0.367920	0.676025	-0.381592
12256	-0.172026	0.069572	-2.597133	0.726459	-9.760888	-0.658809	0.003492	-0.011181	-0.004310	-0.365479	0.679932	-0.386230
12257	-0.180756	0.077189	-2.578938	0.732376	-9.749906	-0.652273	0.001233	-0.015681	0.000107	-0.369873	0.681396	-0.390137
12258	-0.178218	0.081011	-2.557627	0.745361	-9.736356	-0.656610	0.008036	-0.017194	-0.001990	-0.370117	0.674561	-0.383301
12259	-0.180682	0.082969	-2.526272	0.734997	-9.779052	-0.647008	0.004951	-0.019601	-0.003312	-0.360352	0.677002	-0.397461
12260	-0.183155	0.084576	-2.519093	0.742196	-9.764005	-0.663745	0.002683	-0.014266	-0.003299	-0.367920	0.681885	-0.390137
12261	-0.185725	0.083092	-2.510644	0.725564	-9.711289	-0.679102	0.004190	-0.009712	-0.005465	-0.359375	0.679443	-0.387939
12262	-0.192445	0.074970	-2.503441	0.749810	-9.740470	-0.662320	0.002422	-0.011342	-0.011027	-0.355225	0.675293	-0.392822
12263	-0.200348	0.069991	-2.491200	0.708220	-9.796327	-0.661616	0.000536	-0.018208	-0.008899	-0.360107	0.674561	-0.394531
12264	-0.202335	0.064450	-2.486300	0.732848	-9.735759	-0.666258	0.003027	-0.011241	-0.008132	-0.362061	0.678467	-0.389160
12265	-0.198495	0.054436	-2.485897	0.743332	-9.737232	-0.685167	0.008537	-0.005224	-0.011499	-0.367432	0.678467	-0.385742
12266	-0.201734	0.048447	-2.483485	0.739175	-9.743964	-0.681154	0.003677	-0.003195	-0.008303	-0.370117	0.671387	-0.394043
12267	-0.203443	0.045221	-2.498806	0.699386	-9.755732	-0.668218	0.000187	0.008003	-0.004004	-0.364258	0.682129	-0.393066
12268	-0.207777	0.045391	-2.511528	0.693920	-9.762494	-0.665279	0.001901	0.001243	-0.003790	-0.365479	0.682129	-0.391602
12269	-0.210501	0.044250	-2.496660	0.673245	-9.745647	-0.674790	0.004555	-0.016530	-0.005882	-0.361572	0.675293	-0.384521
12270	-0.211592	0.047573	-2.468982	0.711691	-9.733520	-0.621503	0.006845	-0.022237	-0.003448	-0.366455	0.678711	-0.379395
12271	-0.216417	0.050206	-2.453669	0.743741	-9.776755	-0.618417	0.004666	-0.010264	-0.003392	-0.353516	0.674805	-0.388184
12272	-0.217540	0.059422	-2.463742	0.744830	-9.772775	-0.640886	0.005178	-0.002045	0.001573	-0.369629	0.681885	-0.391357
12273	-0.218015	0.071507	-2.477677	0.721527	-9.743686	-0.655903	0.003927	0.004766	0.005185	-0.370605	0.673096	-0.395020
12274	-0.215896	0.084352	-2.483017	0.754951	-9.738815	-0.664833	0.003335	-0.000151	0.006607	-0.365234	0.679688	-0.387451
12275	-0.218851	0.096030	-2.499327	0.773553	-9.755626	-0.621506	0.002953	0.007022	0.004587	-0.354492	0.672852	-0.386719
12276	-0.224735	0.104449	-2.536227	0.747983	-9.770706	-0.648776	0.000023	0.018828	0.002686	-0.359863	0.676270	-0.381592
