// Version: Elderberry
// Acquisition date: 2025-06-20 13:04:44
// Update Rate: 40.0Hz
// Warnings: ;
// Model detected: full_body
// Firmware Version: Dongle 4.14.0
PacketCounter	Roll	Pitch	Yaw	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	MagX	MagY	MagZ
12195	-0.648667	-0.127536	-0.519918	0.135589	9.737943	-0.644130	0.010009	0.016615	0.020923	-0.103027	-0.645996	0.568359
12196	-0.640070	-0.180604	-0.497954	0.131031	9.759860	-0.667594	0.011571	0.017837	0.029503	-0.108398	-0.640137	0.566406
12197	-0.618720	-0.242285	-0.478656	0.113601	9.736939	-0.649912	0.019331	0.013562	0.035207	-0.103516	-0.647461	0.572754
12198	-0.591560	-0.312834	-0.469770	0.122543	9.765826	-0.687454	0.023788	0.011342	0.042300	-0.107178	-0.645020	0.573975
12199	-0.554214	-0.391372	-0.472381	0.128532	9.757055	-0.695377	0.029816	0.002315	0.048171	-0.107910	-0.645508	0.572021
12200	-0.516843	-0.480689	-0.483221	0.154380	9.769419	-0.691171	0.030637	-0.003892	0.056369	-0.109619	-0.644043	0.567383
12201	-0.482512	-0.575830	-0.502244	0.204564	9.765108	-0.743618	0.029510	-0.011360	0.061111	-0.108154	-0.636475	0.576172
12202	-0.439525	-0.671588	-0.545256	0.300994	9.749336	-0.695314	0.031118	-0.021002	0.061815	-0.110596	-0.644287	0.568115
12203	-0.398357	-0.761843	-0.573562	0.356879	9.747304	-0.716784	0.034501	-0.017921	0.058367	-0.108398	-0.646729	0.581543
12204	-0.352496	-0.850975	-0.586773	0.370231	9.751529	-0.755796	0.035402	-0.001543	0.056260	-0.111816	-0.644531	0.570312
12205	-0.313283	-0.935024	-0.595990	0.341718	9.742254	-0.765056	0.033534	-0.004327	0.053053	-0.114502	-0.641357	0.575195
12206	-0.271795	-1.016343	-0.617076	0.367283	9.744922	-0.775877	0.032883	-0.011975	0.051258	-0.108154	-0.635010	0.571289
12207	-0.235836	-1.086607	-0.644996	0.404700	9.751359	-0.788862	0.029025	-0.010750	0.043914	-0.118164	-0.649170	0.578369
12208	-0.200262	-1.151865	-0.650457	0.406911	9.730899	-0.790066	0.030553	-0.005624	0.039707	-0.106934	-0.636719	0.584473
12209	-0.160519	-1.211204	-0.678289	0.449868	9.756773	-0.808899	0.029110	-0.006365	0.035762	-0.116211	-0.638428	0.579102
12210	-0.128203	-1.265707	-0.684743	0.431661	9.739140	-0.824435	0.026052	-0.001207	0.031530	-0.111572	-0.626709	0.574951
